# GOES-R ABI PFM SRF ch 225 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  2.1944262        4557.0      0.00083320
  2.1949078        4556.0      0.00103753
  2.1953897        4555.0      0.00126722
  2.1958718        4554.0      0.00141496
  2.1963541        4553.0      0.00155501
  2.1968366        4552.0      0.00168361
  2.1973193        4551.0      0.00183756
  2.1978022        4550.0      0.00217422
  2.1982853        4549.0      0.00253590
  2.1987687        4548.0      0.00268233
  2.1992523        4547.0      0.00281329
  2.1997360        4546.0      0.00319535
  2.2002200        4545.0      0.00373458
  2.2007042        4544.0      0.00410762
  2.2011886        4543.0      0.00442335
  2.2016733        4542.0      0.00479440
  2.2021581        4541.0      0.00520879
  2.2026432        4540.0      0.00563585
  2.2031284        4539.0      0.00611352
  2.2036139        4538.0      0.00696533
  2.2040996        4537.0      0.00829001
  2.2045855        4536.0      0.00948593
  2.2050717        4535.0      0.01054891
  2.2055580        4534.0      0.01177022
  2.2060446        4533.0      0.01318414
  2.2065313        4532.0      0.01463135
  2.2070183        4531.0      0.01607338
  2.2075055        4530.0      0.01804095
  2.2079929        4529.0      0.02099101
  2.2084806        4528.0      0.02429726
  2.2089684        4527.0      0.02784050
  2.2094565        4526.0      0.03175918
  2.2099448        4525.0      0.03598650
  2.2104332        4524.0      0.04106961
  2.2109220        4523.0      0.04741144
  2.2114109        4522.0      0.05469763
  2.2119000        4521.0      0.06270399
  2.2123894        4520.0      0.07183941
  2.2128790        4519.0      0.08267122
  2.2133687        4518.0      0.09497228
  2.2138588        4517.0      0.10905018
  2.2143490        4516.0      0.12500585
  2.2148394        4515.0      0.14376312
  2.2153301        4514.0      0.16516559
  2.2158210        4513.0      0.18921316
  2.2163121        4512.0      0.21640322
  2.2168034        4511.0      0.24803422
  2.2172949        4510.0      0.28284291
  2.2177866        4509.0      0.32145254
  2.2182786        4508.0      0.36285962
  2.2187708        4507.0      0.40612562
  2.2192632        4506.0      0.45160099
  2.2197558        4505.0      0.49995615
  2.2202487        4504.0      0.54995807
  2.2207417        4503.0      0.60011585
  2.2212350        4502.0      0.64993946
  2.2217285        4501.0      0.69770428
  2.2222222        4500.0      0.74203429
  2.2227162        4499.0      0.78364968
  2.2232103        4498.0      0.82250218
  2.2237047        4497.0      0.85590941
  2.2241993        4496.0      0.88503449
  2.2246941        4495.0      0.90734489
  2.2251891        4494.0      0.92503352
  2.2256844        4493.0      0.93801677
  2.2261799        4492.0      0.94823276
  2.2266756        4491.0      0.95524976
  2.2271715        4490.0      0.96000863
  2.2276676        4489.0      0.96271808
  2.2281640        4488.0      0.96435805
  2.2286606        4487.0      0.96418960
  2.2291574        4486.0      0.96331034
  2.2296544        4485.0      0.96269781
  2.2301516        4484.0      0.96169181
  2.2306491        4483.0      0.96075098
  2.2311468        4482.0      0.96075559
  2.2316447        4481.0      0.96088265
  2.2321429        4480.0      0.96108322
  2.2326412        4479.0      0.96111204
  2.2331398        4478.0      0.96174008
  2.2336386        4477.0      0.96310572
  2.2341376        4476.0      0.96598830
  2.2346369        4475.0      0.96920744
  2.2351363        4474.0      0.97150927
  2.2356360        4473.0      0.97361672
  2.2361360        4472.0      0.97629663
  2.2366361        4471.0      0.97984908
  2.2371365        4470.0      0.98359204
  2.2376371        4469.0      0.98754796
  2.2381379        4468.0      0.99029581
  2.2386389        4467.0      0.99273539
  2.2391402        4466.0      0.99537851
  2.2396417        4465.0      0.99755723
  2.2401434        4464.0      0.99931259
  2.2406453        4463.0      0.99994015
  2.2411475        4462.0      0.99977733
  2.2416499        4461.0      0.99908337
  2.2421525        4460.0      0.99917038
  2.2426553        4459.0      0.99935381
  2.2431584        4458.0      0.99881873
  2.2436617        4457.0      0.99826488
  2.2441652        4456.0      0.99785525
  2.2446689        4455.0      0.99686279
  2.2451729        4454.0      0.99526103
  2.2456771        4453.0      0.99330196
  2.2461815        4452.0      0.99189530
  2.2466861        4451.0      0.99106069
  2.2471910        4450.0      0.99076094
  2.2476961        4449.0      0.99010422
  2.2482014        4448.0      0.98889836
  2.2487070        4447.0      0.98713157
  2.2492128        4446.0      0.98527738
  2.2497188        4445.0      0.98332491
  2.2502250        4444.0      0.98054173
  2.2507315        4443.0      0.97654570
  2.2512382        4442.0      0.97239741
  2.2517451        4441.0      0.96860475
  2.2522523        4440.0      0.96502428
  2.2527596        4439.0      0.96181802
  2.2532672        4438.0      0.95852238
  2.2537751        4437.0      0.95491012
  2.2542831        4436.0      0.95275809
  2.2547914        4435.0      0.95120290
  2.2553000        4434.0      0.94867934
  2.2558087        4433.0      0.94636896
  2.2563177        4432.0      0.94472548
  2.2568269        4431.0      0.94274877
  2.2573363        4430.0      0.94086240
  2.2578460        4429.0      0.93845762
  2.2583559        4428.0      0.93484423
  2.2588660        4427.0      0.92939907
  2.2593764        4426.0      0.92214633
  2.2598870        4425.0      0.91254058
  2.2603978        4424.0      0.89969815
  2.2609089        4423.0      0.88234298
  2.2614202        4422.0      0.86128726
  2.2619317        4421.0      0.83565811
  2.2624434        4420.0      0.80627811
  2.2629554        4419.0      0.77334199
  2.2634676        4418.0      0.73606090
  2.2639801        4417.0      0.69387599
  2.2644928        4416.0      0.64783979
  2.2650057        4415.0      0.59757358
  2.2655188        4414.0      0.54682616
  2.2660322        4413.0      0.49664528
  2.2665458        4412.0      0.44638929
  2.2670596        4411.0      0.39576953
  2.2675737        4410.0      0.34783651
  2.2680880        4409.0      0.30263613
  2.2686025        4408.0      0.26213455
  2.2691173        4407.0      0.22596540
  2.2696323        4406.0      0.19410451
